Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2019","2019","tonnes","256369","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2001","2001","tonnes","2","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2002","2002","tonnes","68","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2003","2003","tonnes","288","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2004","2004","tonnes","4690","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2005","2005","tonnes","195","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2006","2006","tonnes","832","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2007","2007","tonnes","347836","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2008","2008","tonnes","166825","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2009","2009","tonnes","51224","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2010","2010","tonnes","33138","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2011","2011","tonnes","44739","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2012","2012","tonnes","117353","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2013","2013","tonnes","546252","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2014","2014","tonnes","503701","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2015","2015","tonnes","84332","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2016","2016","tonnes","1661","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2017","2017","tonnes","808","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2018","2018","tonnes","5274","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","44","Barley","2019","2019","tonnes","1861","","Official data"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2001","2001","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2002","2002","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2003","2003","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2004","2004","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2005","2005","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2006","2006","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2007","2007","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2008","2008","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2009","2009","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2010","2010","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2011","2011","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2012","2012","No","","M","Data not available"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2013","2013","No","3","","Official data"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2014","2014","No","4939","","Official data"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2015","2015","No","2554","","Official data"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2016","2016","No","1058","","Official data"
"TCL","Crops and livestock products","100","India","5607","Import Quantity","1181","Beehives","2017","2017","No","754","","Official data"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2001","2001","No","53","","Official data"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2002","2002","No","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2003","2003","No","0","F","FAO estimate"
