Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2016","2016","tonnes","1440000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2017","2017","tonnes","1747450","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2018","2018","tonnes","1780810","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2019","2019","tonnes","1633070","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2010","2010","ha","32019","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2011","2011","ha","32785","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2012","2012","ha","34000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2013","2013","ha","34000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2014","2014","ha","34772","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2015","2015","ha","35955","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2016","2016","ha","36445","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2017","2017","ha","37155","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2018","2018","ha","","M","Data not available"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","2019","2019","ha","","M","Data not available"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2010","2010","hg/ha","151713","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2011","2011","hg/ha","152200","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2012","2012","hg/ha","152941","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2013","2013","hg/ha","152941","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2014","2014","hg/ha","153460","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2015","2015","hg/ha","154057","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2016","2016","hg/ha","154475","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","426","Carrots and turnips","2017","2017","hg/ha","154927","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2010","2010","tonnes","485771","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2011","2011","tonnes","498989","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2012","2012","tonnes","520000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2013","2013","tonnes","520000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2014","2014","tonnes","533610","Im","FAO data based on imputation methodology"
